vBestLabels1,vBestLabels2,vBestLabels3,vBestLabels4,vBestLabels5,vBestLabels6,vBestLabels7
12112,0.197764428837125,2,Histogram,KernelPCA,mahalanobis,average
12113,0.197759337700862,20,Histogram,LandmarkIsomap,mahalanobis,single
12114,0.197744818297357,2,Histogram,Sammon,chebychev,single
12115,0.197696522373355,2,Polygon,DiffusionMaps,correlation,average
12116,0.197560797458483,20,Polygon,LDA,spearman,single
12117,0.197546389929682,20,Histogram,LandmarkIsomap,correlation,single
12118,0.197504020323592,10,Polygon,SymSNE,squaredeuclidean,average
12119,0.197476311273915,2,Polygon,KernelPCA,chebychev,complete
12120,0.197204240379773,10,Histogram,SymSNE,seuclidean,weighted
12121,0.196984553047133,5,Polygon,SNE,seuclidean,single
12122,0.196880520731558,20,Polygon,KernelPCA,hamming,ward
12123,0.196880520731558,20,Polygon,KernelPCA,jaccard,ward
12124,0.196839567823008,2,Polygon,Isomap,correlation,single
12125,0.196839567823008,2,Polygon,Isomap,spearman,single
12126,0.196839567823008,2,Polygon,Isomap,spearman,centroid
12127,0.196839567823008,2,Polygon,Isomap,spearman,median
12128,0.196803425860269,20,Histogram,LLC,euclidean,single
12129,0.196803425860269,20,Histogram,LLC,squaredeuclidean,single
12130,0.196803425860269,20,Histogram,LLC,cityblock,single
12131,0.196803425860269,20,Histogram,LLC,minkowski,single
12132,0.196783843254797,20,Polygon,SymSNE,squaredeuclidean,average
12133,0.196753310107372,2,Histogram,LMNN,chebychev,single
12134,0.196753310107372,5,Histogram,LMNN,chebychev,single
12135,0.196753310107372,10,Histogram,LMNN,chebychev,single
12136,0.196753310107372,20,Histogram,LMNN,chebychev,single
12137,0.196681977163534,2,Histogram,KernelPCA,chebychev,average
12138,0.196660093289921,20,Polygon,SymSNE,cityblock,average
12139,0.196590837809185,10,Polygon,FactorAnalysis,cosine,single
12140,0.196533788084927,2,Polygon,LDA,correlation,complete
12141,0.196530749054596,2,Polygon,KernelPCA,cityblock,complete
12142,0.1964959662017,2,Polygon,LDA,spearman,complete
12143,0.1964959662017,2,Polygon,LDA,spearman,average
12144,0.1964959662017,2,Polygon,LDA,spearman,weighted
12145,0.1964959662017,2,Polygon,LDA,spearman,ward
12146,0.196454806145678,5,Histogram,DiffusionMaps,cosine,single
12147,0.19643198178748,20,Histogram,MCML,euclidean,centroid
12148,0.19643198178748,20,Histogram,MCML,minkowski,centroid
12149,0.196415597323138,2,Polygon,KernelPCA,squaredeuclidean,ward
12150,0.196340523753245,10,Histogram,SymSNE,cityblock,average
12151,0.196058716876498,2,Polygon,PCA,correlation,median
12152,0.196058716876498,2,Polygon,MDS,correlation,median
12153,0.196040671687102,2,Polygon,Sammon,cityblock,single
12154,0.196004402988002,5,Polygon,NPE,correlation,single
12155,0.195977885444175,5,Polygon,KernelPCA,cityblock,weighted
12156,0.195953094433765,5,Polygon,SNE,mahalanobis,single
12157,0.19582293889999,20,Histogram,Sammon,euclidean,median
12158,0.19582293889999,20,Histogram,Sammon,minkowski,median
12159,0.195770690721609,10,Histogram,KernelPCA,euclidean,ward
12160,0.195770690721609,10,Histogram,KernelPCA,minkowski,ward
12161,0.195699199836971,2,Histogram,LMNN,cityblock,centroid
12162,0.195699199836971,5,Histogram,LMNN,cityblock,centroid
12163,0.195699199836971,10,Histogram,LMNN,cityblock,centroid
